gene,gene_effect,z_score,mean,stddev
GCAT,-0.07640321089180001,-1.013764184758443,0.06972663196629217,0.14414579352387713
ADCY3,-0.156598267129,-1.0133625401336024,-0.004402611182432896,0.15018875271085264
GGPS1,-0.829955883027,-1.0129143488559902,-0.620111209173243,0.20716921829645374
NEK5,-0.152161772389,-1.0120207769546272,-0.020327923296606876,0.13026792739286197
RANBP2,-0.977842309507,-1.0118745735008847,-0.6586890959585296,0.3154078795005825
HNRNPDL,-0.2732977564,-1.0111806489631137,-0.09523378957173927,0.1760951092278628
REEP4,-0.105282793395,-1.0110200850525182,0.07063483595958495,0.17400013308879692
GAL3ST4,-0.110362292959,-1.0107983395551141,0.02781485122177942,0.13670100036135374
FIG4,-0.217973811611,-1.0102201053248092,-0.04947210742504953,0.16679702106282396
PCDHGA6,-0.35458568329,-1.010191687303357,-0.15150201581224654,0.2010347838239221
RETREG1,-0.0458713885451,-1.009860833555908,0.07963059302758774,0.12427651157711692
SLC16A9,-0.0135772171739,-1.0093348950477192,0.14387548442926648,0.15599649073434885
THBS1,-0.0644272155224,-1.0081185843495308,0.05133576069445532,0.11483071338432786
CRB1,-0.0849192542313,-1.007487505006819,0.047378761424150706,0.1313147954669227
STRADB,-0.129245243409,-1.007029363452614,0.0024088070437026906,0.13073506615668584
DAD1,-0.371649432752,-1.006860046906698,-0.18971875737174806,0.180691125781765
HMGA2,-0.24372078755600002,-1.0067603269143648,-0.013472066319645534,0.22870261678074597
BNIPL,-0.148107683968,-1.006464496671502,0.0193600119713189,0.1663920550532627
ZNF747,-0.133383667846,-1.0064523902977711,-0.0059537800671561995,0.12661293172659877
MGAT3,-0.22194263461999997,-1.006412490193744,-0.08082558242185607,0.14021790624933275
ACE2,-0.12393953460999999,-1.0043032595720511,0.0282822495112733,0.1515695410429488
CUL9,-0.251871646164,-1.0042885186180497,-0.06248183860150219,0.1885810741151432
PPIG,-0.18831025716299998,-1.0032815239396946,-0.03552228793843816,0.15228823174635242
PRKCA,-0.230309098707,-1.0032347567507405,-0.04985491523172746,0.17987234020851156
PGM2,-0.034589019556900004,-1.0030384668723655,0.11149856524969157,0.1456450471556849
BMP5,-0.06380515599349999,-1.0030109925580997,0.06830689889083566,0.1317154606126443
SKI,-0.171015529562,-1.0020331386588472,-0.007989066471507137,0.1626956802134235
ADCYAP1,-0.23036967673,-1.0017589985295443,-0.07109203345150443,0.15899796608994282
EFHD1,-0.37640710078699996,-1.0016716680956852,-0.18793728938372295,0.1881552782276291
ACOT4,-0.0145741982815,-1.0004748852549454,0.11953918161420818,0.13404972165946255
LTB,-0.249818834934,-1.0000834206467637,-0.035149073724309476,0.214651854813133
OR7A17,-0.26202725823,-1.0000202954104687,-0.09439558385874462,0.16762827228666316
RHPN2,-0.192034716365,-0.9998785631756116,-0.019466279190065206,0.17258939588309394
CPNE1,-0.291619107557,-0.99933291116362,-0.12067513411397218,0.17105808438149125
H2BC11,-0.021970009338099998,-0.9992322794735627,0.09380368604549491,0.11586264551480395
TRIM56,-0.07311748856519999,-0.9992213177223349,0.08808529853008622,0.16132841066955847
WDR11,-0.208062217636,-0.9989578239578742,-0.035941093327287676,0.17230069196191672
DACH2,-0.163194944556,-0.9987989861489646,0.024388573193645475,0.18780907905494068
MS4A1,-0.0659474355087,-0.9985017941242661,0.06932881481696586,0.13547922609824614
PTPN22,-0.5542914499620001,-0.9984003987241189,-0.3064297256501032,0.24825883946825908
MYH6,-0.12687935906199999,-0.9974001014001447,0.002560111064697814,0.12977687684710618
TAGAP,-0.214961925668,-0.997080457581538,-0.04639227605298467,0.16906323690656652
NDUFA12,-0.323257135144,-0.996774340417055,-0.17479225554248737,0.14894532652134107
NFATC2,-0.15620547129100001,-0.9965904746233871,-0.015334971543103617,0.14135244449444648
MGAT4C,-0.150594465378,-0.9964618711875377,-0.017002407025783643,0.1340664025538754
GJA5,-0.15164723332900001,-0.9961073759358995,-0.014979965786629608,0.13720134078312968
NEK3,-0.031410368684000003,-0.995931912712891,0.10535968971245815,0.13732872363121723
SH3TC1,0.0196609224442,-0.995650881115669,0.13666678705975113,0.11751695984484149
LDB2,-0.0677595128505,-0.9953956797066705,0.08400524058052758,0.1524667592245835
SLC39A12,0.00477149315054,-0.9950636599242516,0.13823477075595286,0.13412536602489597
OPN1MW,-0.112015639075,-0.9941553230700381,0.011475213810280466,0.12421686030300576
ACAA2,-0.017467721375299998,-0.9940659371178857,0.1376754342251953,0.15606928052509755
ADAMTSL4,-0.061157029762699995,-0.9932145555232808,0.0908114125154188,0.15300666047735612
PARP16,-0.165869508903,-0.9924630758958148,-0.03173155058552791,0.13515662353120472
TBR1,-0.137055912803,-0.9921236135675703,0.007373210205028681,0.14557573374216648
UBR3,-0.134473998437,-0.9919664531460584,0.04110207019797109,0.17699799028296279
COPZ2,-0.158094910902,-0.9917289570420402,-0.015872374004991845,0.143408676218556
LMO1,-0.10119573231699999,-0.990594371675947,0.044957424798223296,0.14754087171720207
ZMIZ1,-0.212954174558,-0.989939829791479,-0.036536593252415685,0.17821040834647994
CNKSR3,-0.143564535188,-0.9897403042948583,0.009911699779751329,0.1550671770178094
UBE2D4,-0.237888416034,-0.9895173602373971,-0.09216333047580877,0.14726885188070882
GABBR2,-0.230058599578,-0.9875340114727242,-0.0743417378916073,0.15768253030006513
ZNRF1,-0.111877253715,-0.9872314081588527,0.06778930021970968,0.18199031397287152
GOSR1,-0.118488237491,-0.9868504382596617,0.01046778195675628,0.13067432961287814
CASR,-0.479094648429,-0.98683873899204,-0.28289975925821126,0.19881149920318572
RASA4B,-0.08597268114399999,-0.9867135384852501,0.009307640173826154,0.0965633059662842
CDC34,-0.182372475562,-0.9866288433225048,-0.041248078061187354,0.1430369671999165
ARHGEF15,-0.123764531205,-0.9865969649849526,0.05811674028569396,0.18435214980969253
APOBEC3C,-0.11529766822200001,-0.9862135448759547,0.026941509554087154,0.14422756462341826
TAF4B,-0.281417416957,-0.9858412662571715,-0.13149806341414502,0.1520725076888253
ZNF784,-0.10889779321799999,-0.9851487774609832,0.03077942979708096,0.14178287199936446
FGF17,-0.16477429805,-0.9848469768411403,-0.00041142281601272147,0.16689179039892574
SLC22A12,-0.048779792772199994,-0.9839226727611647,0.10024690020199205,0.15146179379725144
PRSS16,-0.600798536082,-0.9835462486040829,-0.400855960847296,0.20328741583680107
ARL6IP5,-0.0037403520557500003,-0.9833091315357015,0.14504020024013983,0.15130598051451938
CYP2W1,-0.33181265666,-0.9831092018767056,-0.14230346053776047,0.19276515341375716
PAFAH1B3,-0.13522687681,-0.9830540967324587,0.019156721408748797,0.15704486531504155
GPR183,-0.27968334190099997,-0.9827246023534165,-0.0903892365735457,0.19262172217336895
PARP12,-0.22231515995499998,-0.981688689585487,-0.05637285926799532,0.16903760066449675
PTGDR2,-0.35005789678000004,-0.9812928010811148,-0.19374424805765025,0.15929358551304476
PROS1,-0.20064991625599998,-0.9810096144463943,-0.022286789663495225,0.18181588025837958
GH2,-0.197657770548,-0.9801284299024321,-0.01914699645729593,0.18212998281100173
LINC02693,-0.0145855409164,-0.9798037539408503,0.09831042298421844,0.11522303670152488
RIPPLY3,-0.15671938542400002,-0.9797793156069358,-0.011886473466845232,0.14782197342820647
PPP1R15B,-0.468134543722,-0.9791950317982506,-0.266189547449068,0.20623572395181425
B3GNT4,-0.187560262605,-0.9791916018298453,-0.049409122524607156,0.1410869331622387
TAS2R41,-0.16116291211300002,-0.9790642773518463,0.01666470747478861,0.18163017863216627
INS,-0.31454721836599997,-0.9789619292013122,-0.13645065858681396,0.1819238874023287
ARNT2,-0.202857903757,-0.9788420684649849,-0.04075047190363629,0.1656114270891317
LIMS1,-0.293294897991,-0.9786886134079554,-0.1418962754401104,0.1546953959377279
AKAP10,-0.25090224234499997,-0.9785431410394962,-0.07815688007425271,0.17653321046963924
SLC25A10,-0.205489847386,-0.978224027204824,-0.022680390675764987,0.18687892714370807
WNT3,-0.229774749613,-0.9780045931758727,-0.10207420153173725,0.13057254431349954
TAS2R46,-0.0736583862285,-0.9777392965080832,0.05481401555250191,0.13139740034979744
RNASE7,-0.236820414716,-0.9774530459650408,-0.07779798910324726,0.1626906031642161
PLAU,-0.141067244575,-0.9769479352440145,0.0030742235858734986,0.1475426304318571
PRKCZ,-0.22351976325999998,-0.9764880156529919,-0.07037535877654981,0.1568318320640528
RIC8B,-0.125032015446,-0.9764600794442077,0.0642984633705005,0.19389474572710205
DLX6,-0.178941429498,-0.9762010677069469,-0.041437272962554235,0.14085638818080473
ALKBH5,-0.17441044660100002,-0.976004636180655,-0.023830307020099098,0.15428219702947096
GZF1,-0.21759776225299998,-0.975466560141212,-0.06582939491122775,0.15558541270733228
SLC4A3,-0.155734169793,-0.9753745625447391,0.05915278494490053,0.22031224002527128
XRN1,-0.256875301,-0.9751900459187016,-0.08216205880603858,0.17915814760944215
SLC36A1,-0.314714704117,-0.9746848984714259,-0.11741985196617226,0.20241911253600042
CHERP,-0.5865798612349999,-0.9744925804323352,-0.41402685747672124,0.17706959213760795
PIN4,-0.134425316944,-0.974211752474595,-0.020458278053534514,0.11698384730114152
SP140,-0.258631510088,-0.9740807511621358,-0.12102667197800024,0.14126635594208087
SENP1,-0.309723469103,-0.9740072302290442,-0.06317823742615308,0.2531246422255718
PLA2G6,-0.16547790430099998,-0.9738206276984468,0.05776501590603867,0.2292443945602763
DNAJB9,-0.0827502137934,-0.9727719892303685,0.09947160257463651,0.18732222800967535
LIPG,-0.10574990637599999,-0.9725429422564991,0.021176018410938358,0.13050932691202732
NPTN,-0.288049411305,-0.972107236392404,-0.06911812687172748,0.22521310019844148
FCRL1,-0.039709154338699995,-0.9717322734098296,0.10614061360801803,0.1500925429130063
KIR3DL3,-0.0318833027283,-0.9716715124443145,0.13366286463186922,0.17037256443149712
DCPS,-0.533548770035,-0.9716604337664672,-0.27487748055371486,0.2662157277296888
KLF4,-0.35316314010899996,-0.9716319579079074,-0.12181369416385716,0.2381039899544663
CA5A,-0.16158905718,-0.9715400426755902,0.008796108819907302,0.1753763700059876
