"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"306","7","Reactome Pathways","","Intracellular signaling by second messengers","0.0106","HDAC7|PSMB7|PSMB4|EZH2|IRAK1|PRKAR1A|AKT1","128","217|256|259|220|295|403|301","6.05E-5","","HSA-9006925","0.2910314944140303","0"
"25","3","WikiPathways","","Relationship between inflammation, COX-2 and EGFR","0.0111","PTGER2|CYP19A1|AKT1","128","469|310|301","9.56E-5","","WP4483","0.28808136134802453","0"
"24","3","WikiPathways","","Estrogen metabolism","0.0111","CYP1A2|AKR1C3|CYP19A1","128","331|286|310","8.55E-5","","WP5276","0.28808136134802453","0"
"3702","25","UniProt Keywords","","Metal-binding","0.0116","HDAC7|CDK5RAP1|MMP8|CDADC1|SLC6A4|THRA|CAD|HPX|PGR|METAP2|TMLHE|CYP1A2|ALOX5|EIF2S2|PLA2G2D|PITRM1|IDI1|CYP1A1|CYP19A1|THRB|KDM4E|TOP2A|ADK|ACLY|NR1H2","128","217|400|454|457|445|274|499|463|307|484|490|331|358|481|361|442|466|337|310|277|430|268|346|394|412","9.75E-5","","KW-0479","0.2852612331134289","0"
"570","9","UniProt Keywords","","Oxidoreductase","0.0116","AKR1B1|TMLHE|CYP1A2|HSD11B1|ALOX5|AKR1C3|CYP1A1|CYP19A1|KDM4E","128","283|490|331|352|358|286|337|310|430","8.64E-5","","KW-0560","0.2852612331134289","0"
"1877","18","GO Biological Process","","Phosphate-containing compound metabolic process","0.0118","NAMPT|CAD|HPX|TLR3|KARS1|NTRK3|PNP|PI4KB|IRAK1|UCK1|PLA2G2D|IDI1|PRKAR1A|CDKL4|ADK|AKT1|ACLY|NR1H2","128","247|499|463|292|316|496|250|418|295|475|361|466|403|448|346|301|394|412","1.66E-5","","GO:0006796","0.28416707729550106","0"
"11512","52","COMPARTMENTS","","Intracellular","0.0119","HDAC7|NAMPT|PRSS16|MMP8|ABCB7|PSMB7|KIF11|SLC6A4|DCPS|THRA|CAD|HPX|SIGMAR1|AKR1B1|PSMB4|TLR3|EZH2|PGR|METAP2|KARS1|TMLHE|CYP1A2|WARS1|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|ALOX5|EIF2S2|AKR1C3|PITRM1|IDI1|SEC13|RFC4|PRKAR1A|CYP1A1|CYP19A1|THRB|KDM4E|CHRM2|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|247|436|454|478|256|265|445|487|274|499|463|493|283|259|292|220|307|484|316|490|331|325|250|352|472|418|295|358|481|286|442|466|427|373|403|337|310|277|430|421|460|268|346|439|301|394|433|379|319|415|412","4.14E-5","","GOCC:0005622","0.28362693437110414","0"
"23","3","Reactome Pathways","","Nucleotide salvage","0.0124","PNP|UCK1|ADK","128","250|475|346","7.62E-5","","HSA-8956321","0.2809925478707196","0"
"100","5","DISEASES","","Female reproductive organ cancer","0.0127","SLC6A4|PGR|CYP19A1|ADK|AKT1","128","445|307|310|346|301","2.12E-5","","DOID:120","0.2794624377949575","0"
"46","4","DISEASES","","Uterine cancer","0.0127","SLC6A4|PGR|CYP19A1|AKT1","128","445|307|310|301","1.93E-5","","DOID:363","0.2794624377949575","0"
"2","2","GO Molecular Function","","Prostaglandin H2 endoperoxidase reductase activity","0.0134","AKR1B1|AKR1C3","128","283|286","5.98E-5","","GO:0036130","0.2760283123471376","0"
"99","5","GO Biological Process","","Unsaturated fatty acid metabolic process","0.0135","AKR1B1|CYP1A2|ALOX5|AKR1C3|CYP1A1","128","283|331|358|286|337","2.02E-5","","GO:0033559","0.2755524249750733","0"
"8195","42","COMPARTMENTS","","Cytoplasm","0.0137","HDAC7|NAMPT|PRSS16|MMP8|ABCB7|PSMB7|KIF11|DCPS|THRA|CAD|HPX|SIGMAR1|AKR1B1|PSMB4|TLR3|PGR|METAP2|KARS1|TMLHE|CYP1A2|WARS1|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|ALOX5|EIF2S2|AKR1C3|PITRM1|IDI1|SEC13|PRKAR1A|CYP1A1|CYP19A1|CHRM2|TOP2A|ADK|AKT1|ACLY|RAD51|HARS2","128","217|247|436|454|478|256|265|487|274|499|463|493|283|259|292|307|484|316|490|331|325|250|352|472|418|295|358|481|286|442|466|427|403|337|310|421|268|346|301|394|379|319","5.35E-5","","GOCC:0005737","0.27461113511845553","0"
"2902","22","COMPARTMENTS","","Intracellular organelle lumen","0.0137","HDAC7|NAMPT|MMP8|PSMB7|SLC6A4|CAD|HPX|EZH2|PGR|KARS1|PNP|ALOX5|PITRM1|EBNA1BP2|TOP2A|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19","128","217|247|454|256|445|499|463|220|307|316|250|358|442|460|268|439|301|394|433|379|319|415","5.71E-5","","GOCC:0070013","0.27461113511845553","0"
"29","3","WikiPathways","","Lipid metabolism pathway","0.014","PRKAR1A|AKT1|ACLY","128","403|301|394","1.4E-4","","WP3965","0.2732246572966998","0"
"138","5","Reactome Pathways","","PTEN Regulation","0.0141","HDAC7|PSMB7|PSMB4|EZH2|AKT1","128","217|256|259|220|301","9.28E-5","","HSA-6807070","0.2727690926924493","0"
"12838","55","GO Molecular Function","","Binding","0.0143","HDAC7|NID2|CDK5RAP1|NAMPT|MMP8|CDADC1|ABCB7|KIF11|SLC6A4|DCPS|THRA|CAD|HPX|SIGMAR1|PSMB4|TLR3|EZH2|PGR|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|UCK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|PITRM1|IDI1|SEC13|RFC4|PRKAR1A|CDKL4|CYP1A1|CYP19A1|THRB|KDM4E|CHRM2|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|NR1H2","128","217|409|400|247|454|457|478|265|445|487|274|499|463|493|259|292|220|307|484|316|490|331|325|496|250|352|472|418|295|475|358|481|361|286|442|466|427|373|403|448|337|310|277|430|421|460|268|346|439|301|394|433|379|319|412","6.83E-5","","GO:0005488","0.2718675769907183","0"
"2084","18","GO Molecular Function","","Enzyme binding","0.0143","HDAC7|CDK5RAP1|KIF11|SLC6A4|CAD|PGR|CYP1A2|WARS1|IRAK1|PRKAR1A|CYP1A1|THRB|TOP2A|SNW1|AKT1|CPSF1|RAD51|NR1H2","128","217|400|265|445|499|307|331|325|295|403|337|277|268|439|301|433|379|412","6.65E-5","","GO:0019899","0.2718675769907183","0"
"45","4","SMART Domains","","c4 zinc finger in nuclear hormone receptors","0.0146","THRA|PGR|THRB|NR1H2","128","274|307|277|412","1.78E-5","","SM00399","0.2705386734080379","0"
"47","4","SMART Domains","","Ligand binding domain of hormone receptors","0.0146","THRA|PGR|THRB|NR1H2","128","274|307|277|412","2.09E-5","","SM00430","0.2705386734080379","0"
"24","3","GO Molecular Function","","Aromatase activity","0.0169","CYP1A2|CYP1A1|CYP19A1","128","331|337|310","8.55E-5","","GO:0070330","0.2611750202501138","0"
"14826","60","GO Biological Process","","Cellular process","0.0177","HDAC7|NID2|CDK5RAP1|NAMPT|MMP8|PTGER2|OR7C2|CDADC1|ABCB7|PSMB7|KIF11|SLC6A4|DCPS|THRA|CAD|HPX|SIGMAR1|AKR1B1|PSMB4|TLR3|EZH2|PGR|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|SOAT1|PI4KB|IRAK1|UCK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|PITRM1|IDI1|SEC13|RFC4|PRKAR1A|CDKL4|CYP1A1|CYP19A1|THRB|KDM4E|CHRM2|EBNA1BP2|TOP2A|TAS2R50|ADK|ADGRD1|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|409|400|247|454|469|406|457|478|256|265|445|487|274|499|463|493|283|259|292|220|307|316|490|331|325|496|250|472|418|295|475|358|481|361|286|442|466|427|373|403|448|337|310|277|430|421|460|268|424|346|451|439|301|394|433|379|319|415|412","2.82E-5","","GO:0009987","0.25821465186679315","0"
"51","4","GO Biological Process","","Secondary metabolic process","0.0177","AKR1B1|CYP1A2|AKR1C3|CYP1A1","128","283|331|286|337","2.83E-5","","GO:0019748","0.25821465186679315","0"
"16","3","GO Biological Process","","Regulation of retinoic acid receptor signaling pathway","0.0177","EZH2|AKR1C3|SNW1","128","220|286|439","2.88E-5","","GO:0048385","0.25821465186679315","0"
"276","7","GO Biological Process","","Nucleotide biosynthetic process","0.0179","NAMPT|CAD|KARS1|PNP|UCK1|ADK|ACLY","128","247|499|316|250|475|346|394","3.2E-5","","GO:0009165","0.2574954695062394","0"
"112","5","GO Biological Process","","Icosanoid metabolic process","0.0186","AKR1B1|CYP1A2|ALOX5|AKR1C3|CYP1A1","128","283|331|358|286|337","3.57E-5","","GO:0006690","0.25504012244201163","0"
"55","4","GO Biological Process","","Arachidonic acid metabolic process","0.0189","CYP1A2|ALOX5|AKR1C3|CYP1A1","128","331|358|286|337","3.74E-5","","GO:0019369","0.2540159956865311","0"
"55","4","GO Biological Process","","Retinol metabolic process","0.0189","AKR1B1|CYP1A2|AKR1C3|CYP1A1","128","283|331|286|337","3.74E-5","","GO:0042572","0.2540159956865311","0"
"5781","34","GO Biological Process","","Macromolecule metabolic process","0.0189","HDAC7|CDK5RAP1|PRSS16|MMP8|CDADC1|PSMB7|DCPS|THRA|CAD|HPX|PSMB4|TLR3|EZH2|METAP2|KARS1|WARS1|NTRK3|IRAK1|EIF2S2|AKR1C3|PITRM1|RFC4|CDKL4|CYP1A1|THRB|KDM4E|EBNA1BP2|TOP2A|SNW1|AKT1|CPSF1|RAD51|HARS2|MED19","128","217|400|436|454|457|256|487|274|499|463|259|292|220|484|316|325|496|295|481|286|442|373|448|337|277|430|460|268|439|301|433|379|319|415","3.92E-5","","GO:0043170","0.2540159956865311","0"
"2609","21","GO Biological Process","","Cellular response to chemical stimulus","0.0189","PTGER2|SLC6A4|DCPS|THRA|HPX|SIGMAR1|AKR1B1|TLR3|EZH2|PGR|CYP1A2|NTRK3|IRAK1|ALOX5|AKR1C3|CYP1A1|THRB|CHRM2|SNW1|AKT1|RAD51","128","469|445|487|274|463|493|283|292|220|307|331|496|295|358|286|337|277|421|439|301|379","3.75E-5","","GO:0070887","0.2540159956865311","0"
"2542","20","TISSUES","","Organism form","0.0207","NID2|PSMB7|KIF11|SLC6A4|AKR1B1|PSMB4|TLR3|METAP2|KARS1|WARS1|SOAT1|IRAK1|EIF2S2|PITRM1|SEC13|CYP1A1|CYP19A1|AKT1|RAD51|NR1H2","128","409|256|265|445|283|259|292|484|316|325|472|295|481|442|427|337|310|301|379|412","8.55E-5","","BTO:0000284","0.24819320540744433","0"
