"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3","2","InterPro Domains","","Nicotinate phosphoribosyltransferase-like, C-terminal","0.0061","NAMPT|NAPRT","3389","3478|3754","3.39E-6","","IPR036068","0.22146701649892328","0"
"12","2","Reactome Pathways","","Pyrimidine catabolism","0.007","NT5C|NT5M","3389","3730|3742","3.08E-5","","HSA-73621","0.2154901959985743","0"
"13","2","Reactome Pathways","","Purine salvage","0.007","PNP|ADK","3389","3481|3508","3.55E-5","","HSA-74217","0.2154901959985743","0"
"4981","10","GO Biological Process","","Organonitrogen compound metabolic process","0.0078","NAMPT|NT5C|NT5C2|PNP|NMRK1|NT5M|NAPRT|NT5C1B-RDH14|NNMT|ADK","3389","3478|3730|3748|3481|3772|3742|3754|3736|3766|3508","4.22E-5","","GO:1901564","0.21079053973095196","0"
"2507","8","GO Molecular Function","","Small molecule binding","0.0096","NT5C|NT5C2|PNP|NMRK1|NT5M|NT5C3B|NT5C1B-RDH14|ADK","3389","3730|3748|3481|3772|3742|3787|3736|3508","2.13E-5","","GO:0036094","0.20177287669604316","0"
"18","2","GO Biological Process","","Nucleotide salvage","0.0112","NAPRT|ADK","3389","3754|3508","6.42E-5","","GO:0043173","0.19507819773298182","0"
"1338","6","GO Biological Process","","Organonitrogen compound biosynthetic process","0.0112","NAMPT|PNP|NMRK1|NAPRT|NNMT|ADK","3389","3478|3481|3772|3754|3766|3508","6.42E-5","","GO:1901566","0.19507819773298182","0"
"390","4","GO Biological Process","","Purine ribonucleotide metabolic process","0.0116","NT5C|NT5C2|PNP|ADK","3389","3730|3748|3481|3508","6.85E-5","","GO:0009150","0.19355420107730817","0"
"27","2","GO Biological Process","","GMP metabolic process","0.0208","NT5C2|ADK","3389","3748|3508","1.4E-4","","GO:0046037","0.16819366650372386","0"
"2168","7","GO Molecular Function","","Nucleotide binding","0.0358","NT5C|NT5C2|NMRK1|NT5M|NT5C3B|NT5C1B-RDH14|ADK","3389","3730|3748|3772|3742|3787|3736|3508","9.45E-5","","GO:0000166","0.14461169733561258","0"
"1776","6","UniProt Keywords","","Nucleotide-binding","0.0416","NT5C|NT5C2|NMRK1|NT5M|NT5C3B|ADK","3389","3730|3748|3772|3742|3787|3508","3.1E-4","","KW-0547","0.13809066693732572","0"
