"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"32","6","WikiPathways","","Nuclear receptors in lipid metabolism and toxicity","2.2E-4","CYP7A1|CYP4A11|CYP2B6|CYP1A2|CYP2E1|CYP3A4","128","1226|1694|1295|331|1178|1082","9.17E-6","","WP299","0.3657577319177794","0"
"25","6","GO Biological Process","","NAD biosynthetic process","2.3E-4","NAMPT|NMRK1|ASPDH|NAPRT|NNMT|NMRK2","128","247|1586|2639|1574|1250|1568","2.64E-6","","GO:0009435","0.36382721639824067","0"
"166","12","Reactome Pathways","","SUMO E3 ligases SUMOylate target proteins","2.3E-4","HDAC7|PHC2|THRA|PGR|SEC13|THRB|NCOR2|NCOA1|NCOA2|TOP2A|PHC1|NR1H2","128","217|1397|274|307|427|277|1001|2099|2105|268|1388|412","4.11E-6","","HSA-3108232","0.36382721639824067","0"
"5","4","GO Molecular Function","","Ketosteroid monooxygenase activity","2.4E-4","AKR1D1|AKR1C4|AKR1C3|AKR1C1","128","1076|1463|286|1472","3.42E-6","","GO:0047086","0.3619788758288394","0"
"14","5","GO Molecular Function","","17-beta-hydroxysteroid dehydrogenase (NAD+) activity","2.6E-4","HSD17B2|AKR1C4|AKR1C3|AKR1C1|HSD17B6","128","1013|1463|286|1472|1064","3.68E-6","","GO:0044594","0.35850266520291824","0"
"266","15","Reactome Pathways","","PIP3 activates AKT signaling","2.7E-4","HDAC7|PIK3R2|PHC2|PSMB7|PIK3R3|PSMB4|EZH2|PSMF1|THEM4|IRAK1|PIK3CD|PSMB11|PHC1|AKT1|PIK3CB","128","217|1478|1397|256|1508|259|220|2531|4991|295|1520|1880|1388|301|1514","4.76E-6","","HSA-1257604","0.3568636235841013","0"
"6357","120","GO Biological Process","","Cellular response to stimulus","2.8E-4","SIRT4|GSTA3|PIK3R2|NAMPT|CYP3A5|RAD51AP1|GSTM2|AHR|PTGER2|OR7C2|SLC6A4|PIK3R3|DCPS|THRA|PDE8B|BST1|HPX|SRD5A1|SIGMAR1|PDE3B|PLA2R1|AKR1B1|PDE11A|TIMP4|CYP11B1|LTC4S|GRASP|ALOX15|HPGDS|TLR3|SPIDR|DEFA4|MELK|PCLAF|CYP2A6|CGB5|CYP7A1|UGT1A6|UGT1A1|CYP2S1|SWI5|EZH2|AHRR|CYP2B6|PGR|KARS1|CYP11B2|PSMG2|TPH2|SHC4|UPP1|CYP2A13|UGT2B28|GSTA1|CYP3A7|UGT2B15|CYP1A2|PTGES|UGT1A10|UGT1A9|RXRG|NTRK3|GSTM3|TIFA|DTL|THEM4|PI4KB|SFR1|GSTM4|IRAK1|GSTA4|GSTA5|CYP2C8|UGT1A7|UGT1A8|ZWINT|ALOX5|PIK3CD|KIN|AKR1C4|AKR1C3|AKR1C1|RAD1|RFC4|RAD9B|TIRAP|PRKAR1A|PDE8A|CYP1A1|TYMP|MGST1|THRB|ADA2|CASTOR1|NCOA1|UGT2B11|CHRM2|NCOA2|LPAR4|TOP2A|UGT1A3|GSTA2|TAS2R50|AHRR-2|SH2B2|CYP2E1|ADGRD1|SNW1|AKT1|CYP1B1|IGHV3-16|MGST2|OR13G1|RAD51|PDE8B-2|INPP5F|ENPP1|CYP3A4|NR1H2|PIK3CB","128","1232|1265|1478|247|1088|1853|1301|2096|469|406|445|1508|487|274|2723|1256|463|1154|493|2237|3053|283|3068|2024|1094|3128|3140|2300|1319|292|3239|2030|1871|2567|1346|3413|1226|1022|1016|1283|3899|220|3986|1295|307|316|1070|2525|2603|4163|1982|1337|1706|1364|1205|1052|331|2228|1058|1742|2852|496|1289|4952|2561|4991|418|3905|1277|295|1307|1271|1724|1760|1040|1862|358|1520|5480|1463|286|1472|5570|373|5579|3233|403|2738|337|1973|1331|277|1958|5597|2099|1670|421|2105|5867|268|1733|1370|424|5675|4880|1178|451|439|301|1100|3419|1313|5933|379|5654|1481|1241|1082|412|1514","3.18E-6","","GO:0051716","0.3552841968657781","0"
"201","15","Monarch Phenotype","","Vitamin measurement","2.8E-4","UGT2A3|PDE3B|UGT1A6|UGT2B7|UGT1A10|UGT1A9|DHCR7|UGT1A4|UGT1A5|UGT1A7|UGT1A8|AKR1C4|CDKL1|ENPP3|AKT1","128","1679|2237|1022|1034|1058|1742|1169|1028|1664|1760|1040|1463|5669|1235|301","1.74E-7","","EFO:0004729","0.3552841968657781","0"
"75","10","Monarch Phenotype","","Carboxylic acid measurement","2.8E-4","UGT1A6|UGT1A1|UGT1A10|UGT1A9|UGT1A4|UGT1A5|UGT1A7|UGT1A8|UGT1A3|NT5C3A","128","1022|1016|1058|1742|1028|1664|1760|1040|1733|2009","1.63E-7","","EFO:0010468","0.3552841968657781","0"
"5","4","GO Biological Process","","IMP catabolic process","3.0E-4","NT5C1A|NT5C|NT5C2|PNP","128","1547|1535|1559|250","3.42E-6","","GO:0006204","0.35228787452803373","0"
